variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.3755871293441066,0.9380857504606398,0.2814653728146537,102,3014
intervention,complete_cov >= 30,0.41831908609495555,0.9733129132145468,0.009881280098812801,102,3014
