experiment_name,descriptor,variant_name,variant_slug,optimizer_mode,field_mode,latent_rank,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,ranking_mode,rank_in_experiment,is_best,total_recovery_rmse,final_loss,field_rmse,interaction_fro_error,optimizer_status,beta_estimate,xi_estimate,eta_estimate,estimated_field_max_abs_entry,estimated_field_rank,estimated_field_frobenius_norm,estimated_field_nuclear_norm,estimated_singular_value_count,estimated_u_frobenius_norm,estimated_v_frobenius_norm,estimated_sv_1,estimated_sv_2,estimated_sv_3,estimated_sv_4,estimated_sv_5
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_5_e4_beta_mask,alternating_rank_8_uv_5_e4_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.0005,{},final_loss_only,1,True,,0.3835262724118449,,,CONVERGED: alternating objective tolerance reached,0.0016897101277683645,1.0836070754343374,-0.030531084302634362,65.77574450806203,8,1584.0501706867083,4197.111339683623,8,2.8284271247461903,2.8284271247461903,909.1263001904216,716.0296869686288,550.4389796730795,518.2429329390732,466.02469161285666
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_1_e3_beta_mask,alternating_rank_8_uv_1_e3_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.001,{},final_loss_only,2,False,,0.38566313778028327,,,CONVERGED: alternating objective tolerance reached,-0.001058471279468308,1.091654663857322,-0.03619767102798539,43.08639378576307,8,1205.4846446139238,3202.766959759698,8,2.8284271247461903,2.8284271247461903,685.4750834398251,561.4114547212833,426.37075163146494,380.39606564007164,356.73063103983833
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_5_e3_beta_mask,alternating_rank_8_uv_5_e3_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.005,{},final_loss_only,3,False,,0.3914974324975646,,,CONVERGED: alternating objective tolerance reached,-0.02369161494031364,1.1131216117188434,-0.050122833915735826,17.39894878941023,8,705.1823964888664,1798.0700380284256,8,2.8284271247461903,2.8284271247461903,469.0618857284768,316.88591632696904,212.75777643768632,191.97638022174442,191.76384601256558
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_1_e2_beta_mask,alternating_rank_8_uv_1_e2_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.01,{},final_loss_only,4,False,,0.3942379885584632,,,CONVERGED: alternating objective tolerance reached,-0.031299038767761606,1.1706285208422416,-0.03773317264298672,7.032842374874359,8,599.266210174121,1513.3501982587713,8,2.8284271247461903,2.8284271247461903,403.0275602698601,279.81467881144664,172.06014448238375,157.00464414765338,153.88602798842058
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_5_e2_beta_mask,alternating_rank_8_uv_5_e2_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.05,{},final_loss_only,5,False,,0.40726157839761173,,,CONVERGED: alternating objective tolerance reached,-0.030329796784135655,1.4602654591108133,0.04532658286653215,3.410231083695831,8,386.1583022972981,955.8461029931277,8,2.8284271247461903,2.8284271247461903,265.87897165765787,188.00515193114958,105.2661158135611,92.19687866540716,90.02994230913858
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_8_uv_1_e1_beta_mask,alternating_rank_8_uv_1_e1_beta_mask,alternating_latent_rank,,8,0.0,0.0,0.1,{},final_loss_only,6,False,,0.4184831829094062,,,CONVERGED: alternating objective tolerance reached,-0.02422304371188123,1.6201173428725848,0.11575017110648664,2.5076685237087193,8,298.0382462994564,726.9049590054117,8,2.8284271247461903,2.8284271247461903,212.68204128604418,141.33452129136637,76.89886220698054,67.83533478427532,64.73597524607715
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_5_uv_5_e4_beta_mask,alternating_rank_5_uv_5_e4_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.0005,{},final_loss_only,7,False,,0.4201462346825099,,,CONVERGED: alternating objective tolerance reached,0.012249991512447746,1.2083746036365184,0.03728648228933826,71.73249939745602,5,1075.8148773903804,2187.5938416472027,5,2.23606797749979,2.23606797749979,751.8406380843605,546.7685839805415,430.488872232195,266.17737831891645,192.3183690311847
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_5_uv_1_e3_beta_mask,alternating_rank_5_uv_1_e3_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.001,{},final_loss_only,8,False,,0.4208158979776625,,,CONVERGED: alternating objective tolerance reached,0.010353932207799526,1.2006118498181653,0.03636160438081263,52.26459655582919,5,834.8891844926276,1734.2352609643783,5,2.23606797749979,2.23606797749979,583.8658893316467,392.4289677322437,322.2759776513544,258.92069704468923,176.74372920444
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_5_uv_5_e3_beta_mask,alternating_rank_5_uv_5_e3_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.005,{},final_loss_only,9,False,,0.4231816042558787,,,CONVERGED: alternating objective tolerance reached,-0.017294871182060984,1.232266134703392,0.03048786496775579,9.841727109954132,5,530.4873679312765,1097.4987471911488,5,2.23606797749979,2.23606797749979,378.9885095836456,259.5623757898957,163.62272350682954,151.60375587983938,143.72138243093463
outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,outcome_death_rate_100k_ge_2__intervention_complete_cov_ge_30__lag_2w__contiguity__start_2020_06_07,alternating_rank_5_uv_1_e2_beta_mask,alternating_rank_5_uv_1_e2_beta_mask,alternating_latent_rank,,5,0.0,0.0,0.01,{},final_loss_only,10,False,,0.42438687102251393,,,CONVERGED: alternating objective tolerance reached,-0.02016304104233159,1.2749340526192923,0.03973823604283669,6.756227583878362,5,472.64466552160184,974.2007246160714,5,2.23606797749979,2.23606797749979,337.51329711262173,236.6399818929468,142.42716221637554,131.00915771062253,126.61112568350133
