source_type,source_name,source_slug,run_name,run_slug,treated_intervention_slug,control_intervention_slug,s,gte,gte_post_s
fit,alternating_rank_3_uv_1_e2,fit_alternating_rank_3_uv_1_e2,default,default,all_intervention_from_s,no_intervention,0,0.58175,0.58175
fit,snn_8nn_u_mr1,fit_snn_8nn_u_mr1,default,default,all_intervention_from_s,no_intervention,0,0.25546909523809525,0.25546909523809525
truth,truth,truth,default,default,all_intervention_from_s,no_intervention,0,0.5513699999999999,0.5513699999999999
