experiment_name,experiment_slug,execution_mode,search_name,search_slug,split_kind,outer_num_folds,test_fold_id,candidate_name,candidate_slug,candidate_index,optimizer_mode,cv_fold_id,num_training_slots,num_validation_slots,num_post_s_validation_slots,fit_path,status,fit_loss,validation_loss,validation_brier_score,validation_ece,post_s_validation_loss,post_s_validation_brier_score,post_s_validation_ece,validation_mean_magnetization_abs_diff,validation_observed_mean_magnetization,validation_sampled_mean_magnetization_mean,post_s_validation_mean_magnetization_abs_diff,post_s_validation_observed_mean_magnetization,post_s_validation_sampled_mean_magnetization_mean
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0002/fold_4,completed,0.48766495751254424,0.6463054412981613,0.21236732238603495,0.0699029194207379,0.6463054412981613,0.21236732238603495,0.0699029194207379,0.016489192625556263,-0.010171646535282899,0.006317546090273364,0.016489192625556263,-0.010171646535282899,0.006317546090273364
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0002/fold_5,completed,0.47794944002949746,0.6582817963294935,0.21680369343857517,0.07913328399751406,0.6582817963294935,0.21680369343857517,0.07913328399751406,0.02324380165289256,0.019707565162110616,-0.003536236490781945,0.02324380165289256,0.019707565162110616,-0.003536236490781945
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0002/fold_6,completed,0.4753812319586815,0.671229646743979,0.2236417970777206,0.09590225182183425,0.671229646743979,0.2236417970777206,0.09590225182183425,0.022253184713375798,-0.01464968152866242,0.007603503184713376,0.022253184713375798,-0.01464968152866242,0.007603503184713376
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0002/fold_7,completed,0.4757969000262809,0.6601055027230908,0.21761751147841332,0.08045595893701842,0.6601055027230908,0.21761751147841332,0.08045595893701842,0.02308917197452229,-0.033121019108280254,-0.010031847133757963,0.02308917197452229,-0.033121019108280254,-0.010031847133757963
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_1,completed,0.4821662313041011,0.610951144636808,0.20545786641718178,0.055931174003299305,0.610951144636808,0.20545786641718178,0.055931174003299305,0.01871019108280255,0.012101910828025478,-0.00660828025477707,0.01871019108280255,0.012101910828025478,-0.00660828025477707
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_2,completed,0.4883321462724696,0.6090581448243343,0.207967153289149,0.07007466592263933,0.6090581448243343,0.207967153289149,0.07007466592263933,0.014361871419478039,0.015276893698281349,0.0009150222788033102,0.014361871419478039,0.015276893698281349,0.0009150222788033102
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_3,completed,0.4834919626039338,0.6395544121543817,0.21526820923582923,0.06968454400301073,0.6395544121543817,0.21526820923582923,0.06968454400301073,0.0184758423394787,0.004450095359186269,-0.014025746980292433,0.0184758423394787,0.004450095359186269,-0.014025746980292433
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_4,completed,0.4914282395136028,0.6225282715944965,0.20927130599528818,0.05883101146308484,0.6225282715944965,0.20927130599528818,0.05883101146308484,0.017442784488239035,-0.010171646535282899,0.007271137952956135,0.017442784488239035,-0.010171646535282899,0.007271137952956135
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_5,completed,0.4820950462623242,0.6339505081706236,0.21385937285650702,0.07293948330907739,0.6339505081706236,0.21385937285650702,0.07293948330907739,0.022687539732994276,0.019707565162110616,-0.0029799745708836613,0.022687539732994276,0.019707565162110616,-0.0029799745708836613
no_interference_confounding_beta_010,no_interference_confounding_beta_010,cv,default,default,train_cv,6,1,default__candidate_0003,default_candidate_0003,3,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/no_interference_confounding_beta_010/cv_runs/default/candidates/default_candidate_0003/fold_6,completed,0.4793759782458413,0.6488531982791024,0.22067723743589887,0.08573166520018653,0.6488531982791024,0.22067723743589887,0.08573166520018653,0.024323248407643314,-0.01464968152866242,0.009673566878980893,0.024323248407643314,-0.01464968152866242,0.009673566878980893
