source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,55,0.1078933338872272,0.0023700206171896974,0.10382117536280049,0.10746925888999667,0.11146698792511354,-0.11571119973413095,0.002774238313039372,-0.12025078610322877,-0.11680343584630723,-0.11106807781782857
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,55,0.10666057383405339,0.0015003649833374361,0.1042040545031572,0.10659964550792067,0.10926387504154203,-0.1101164455351893,0.002162115335067319,-0.11330751335736382,-0.11011069356034461,-0.10623386251501904
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,55,0.10670003877257117,0.0022779814665670945,0.10317865846903733,0.10609560208264096,0.1106673036446217,-0.11538525449293147,0.003163081228717394,-0.12063041644297876,-0.11531047881995041,-0.1099355778817394
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,55,0.10597132214467708,0.0014275862025857316,0.10385440899523651,0.10606790738894428,0.10813046970200509,-0.11013242324309123,0.001949105177622171,-0.11304164429787561,-0.10977324436945574,-0.10741110003323363
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,55,0.1073740583804143,0.002345630787363806,0.10412027805472472,0.10666334330342306,0.11157084302647613,-0.11563258941125343,0.0028030588385499705,-0.11992356264539715,-0.11585755553851268,-0.11012986680982693
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,55,0.10649648277390052,0.0014536982380111186,0.104276753074111,0.10611221889885898,0.10901946936966878,-0.10981542551831683,0.002095367468418306,-0.11352608840146228,-0.11007490349464427,-0.1063961960273027
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,55,0.10905754957350172,0.0019234762299190087,0.10579580702337432,0.10852719618921014,0.11201741996233522,-0.11604034051691081,0.0027989380769642257,-0.12052048981261344,-0.11669606564920623,-0.11146304675716441
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,55,0.10670246205826964,0.00176184781205893,0.10384333111775784,0.10699291015841364,0.10956643957017835,-0.11026280133957103,0.0022059689868486306,-0.11379834854411125,-0.10957384257483958,-0.10686274509803922
truth,truth,truth,default,default,16,10,55,0.10535130718954248,0.002031620395752288,0.1018043092943392,0.10548354935194418,0.10905270300210479,-0.11472186006084312,0.0024575448346054562,-0.11910678221745022,-0.1147531763683309,-0.11123552419664084
fit,zero_external_field,fit_zero_external_field,default,default,16,10,55,0.11303035338429157,0.0033385261164011384,0.1080702337432148,0.11227151877700232,0.1187257671430154,-0.10612137945138943,0.004237094952748264,-0.11291126620139581,-0.10684868471508552,-0.09920750568806402
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,55,0.10696729256674421,0.0021691318561342745,0.10364600642516894,0.10746095048188767,0.11081062368450205,-0.10463545261650944,0.0025789723202446235,-0.10952271390955338,-0.1047984252371092,-0.10012654344658332
