source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,55,0.3728678547690263,0.0023824230219557253,0.36958222554558545,0.3731278387061039,0.37726473357704665,0.37347253112457496,0.0031737163388267566,0.3680266891632794,0.37329038525449293,0.3793580796073318
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,55,0.36201326575828074,0.0018337608846880561,0.3591440954913039,0.36194195192201173,0.3649731361471142,0.3613039087864611,0.0027901515529997543,0.3571720735230207,0.3611319886494363,0.3659649257356137
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,55,0.36927827628226434,0.0022803288439210124,0.36604284369114876,0.36927273734352495,0.37380982053838485,0.36937456860188667,0.0028737424948579735,0.3658140961730194,0.36897512590433823,0.37576245622108034
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,55,0.360052135260884,0.001762241475217986,0.35755926664451093,0.3601196410767697,0.36328514456630107,0.3589398471252908,0.0025117834970589514,0.355680394713296,0.3585090881202546,0.3639274484239589
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,55,0.3713941508806913,0.0020357860532854415,0.36886424061149886,0.3711421291680514,0.3756473634651601,0.3717891198200271,0.0033063443971442777,0.36788608533374234,0.37080041925505536,0.37826776082010377
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,55,0.3611232275396034,0.0017287337701414572,0.35884499279937965,0.3612274288246372,0.36392350725600975,0.36026471866451926,0.0026434205254857214,0.3565598077562185,0.3600173837461973,0.3648375386660531
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,55,0.37666791292788304,0.0023340177557352663,0.37309806691037994,0.3772266533732137,0.38052370665780433,0.3780095610604085,0.0031865404840337483,0.37331850602040034,0.3777590306005062,0.3841258276452693
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,55,0.3625401573058602,0.0019329537208021125,0.3599749363022045,0.3626453971419076,0.36605738340533955,0.36205294373290386,0.002724495813604541,0.3585729989518624,0.3620369660250019,0.36716133650331056
truth,truth,truth,default,default,16,10,55,0.36665247313614713,0.0019248289983711446,0.36380303533842917,0.3665752741774676,0.3702648997452088,0.36768029245596545,0.0021201383602352177,0.36392617020732676,0.3677582636705269,0.3717194570135747
fit,zero_external_field,fit_zero_external_field,default,default,16,10,55,0.37701271186440677,0.003337300726268342,0.3720574387947269,0.3769967874155312,0.38264581256231306,0.38123066697343866,0.005084994459413579,0.37400874300176395,0.3812920213717821,0.3906613492854769
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,55,0.3601570289132602,0.002357254072188362,0.3566806524869835,0.3596377534064473,0.3636486374210701,0.36279175294628935,0.0029967989300452593,0.35799141038423193,0.36256870414397835,0.36712810287087455
