source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975,truth_overall_mean_magnetization_abs_error,truth_post_intervention_mean_magnetization_abs_error,truth_overall_mean_in_95_interval,truth_post_intervention_mean_in_95_interval,truth_unit_mean_abs_error_mean,truth_unit_mean_squared_error_mean,truth_unit_mean_rmse,truth_unit_mean_max_abs_error,truth_unit_mean_correlation,truth_unit_mean_95_interval_coverage_rate,truth_rank_in_run,truth_is_best
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,0,-0.3827081256231306,0.002549618742851074,-0.38684225102470365,-0.3826852775008308,-0.3785227650382187,-0.3827081256231306,0.002549618742851074,-0.38684225102470365,-0.3826852775008308,-0.3785227650382187,0.008666015841364783,0.008666015841364783,0.0,0.0,0.0999394178575385,0.01746962346467542,0.1321727031753358,0.5447916666666667,0.9703740450058176,0.7906281156530409,5,False
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,0,-0.36457952531295,0.0017744857323931885,-0.36685152874709204,-0.3647806580259222,-0.3612966655588789,-0.36457952531295,0.0017744857323931885,-0.36685152874709204,-0.3647806580259222,-0.3612966655588789,0.009462584468815816,0.009462584468815816,0.0,0.0,0.10426221335992025,0.018032927404130202,0.1342867357713717,0.5062500000000001,0.9670511910871676,0.7633765370555001,6,False
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,0,-0.3801394427827628,0.0022940092339603915,-0.3841316328791403,-0.37999612274288247,-0.37655090284701453,-0.3801394427827628,0.0022940092339603915,-0.3841316328791403,-0.37999612274288247,-0.37655090284701453,0.006097333000996963,0.006097333000996963,0.0,0.0,0.08118041708208708,0.012284454867457812,0.11083526003694769,0.565625,0.9724900853043886,0.8574277168494516,1,True
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,0,-0.36376807078763707,0.0015977206795432161,-0.36636964107676967,-0.3638251910933865,-0.3611180347845353,-0.36376807078763707,0.0015977206795432161,-0.36636964107676967,-0.3638251910933865,-0.3611180347845353,0.010274038994128765,0.010274038994128765,0.0,0.0,0.08639498172150216,0.013489770849488571,0.11614547278946594,0.5208333333333333,0.9690739462084624,0.8351611831173147,2,False
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,0,-0.3818101251800155,0.0025101409182826323,-0.3858978619696466,-0.3817658136701008,-0.37823889442782765,-0.3818101251800155,0.0025101409182826323,-0.3858978619696466,-0.3817658136701008,-0.37823889442782765,0.0077680153982496725,0.0077680153982496725,0.0,0.0,0.08929842417192865,0.014361024637314907,0.11983749261944238,0.5447916666666667,0.9715638903763287,0.8298438019275507,3,False
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,0,-0.3645656779661017,0.0016760755850428468,-0.3668037554004653,-0.36434308186551456,-0.36189140910601525,-0.3645656779661017,0.0016760755850428468,-0.3668037554004653,-0.36434308186551456,-0.36189140910601525,0.009476431815664155,0.009476431815664155,0.0,0.0,0.09380815885676307,0.015196938120822718,0.1232758618741833,0.49375,0.9682831336372848,0.8029245596543703,4,False
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,0,-0.3832706740888446,0.0024275727787055,-0.38716766367563976,-0.3831200841918688,-0.37952462058269637,-0.3832706740888446,0.0024275727787055,-0.38716766367563976,-0.3831200841918688,-0.37952462058269637,0.009228564307078746,0.009228564307078746,0.0,0.0,0.11546956353162732,0.02310399169966951,0.15199997269627882,0.5947916666666666,0.9673790721588145,0.7324692588899967,8,False
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,0,-0.36525285255345075,0.0017680513482880218,-0.3681407167386729,-0.36485266422953366,-0.3622680569402903,-0.36525285255345075,0.0017680513482880218,-0.3681407167386729,-0.36485266422953366,-0.3622680569402903,0.008789257228315084,0.008789257228315084,0.0,0.0,0.10433110391049076,0.01809149843582678,0.13450464094531006,0.5145833333333333,0.9670274115330989,0.7537387836490529,7,False
truth,truth,truth,default,default,16,10,0,-0.37404210978176583,0.002282215819622834,-0.378269358590894,-0.3744128724936302,-0.3703375983161626,-0.37404210978176583,0.002282215819622834,-0.378269358590894,-0.3744128724936302,-0.3703375983161626,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,
fit,zero_external_field,fit_zero_external_field,default,default,16,10,0,-0.37651282264318153,0.004120403588749604,-0.3825246482773901,-0.37766699900299106,-0.36853190428713856,-0.37651282264318153,0.004120403588749604,-0.3825246482773901,-0.37766699900299106,-0.36853190428713856,0.0024707128614157026,0.0024707128614157026,1.0,1.0,0.3822695109117093,0.21162283224112388,0.4600248169839578,1.3229166666666667,0.0544566274702808,0.28414755732801594,9,False
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,0,-0.3589325772681954,0.0022333523003172334,-0.36224105461393596,-0.35979561316051845,-0.3547987980502936,-0.3589325772681954,0.0022333523003172334,-0.36224105461393596,-0.35979561316051845,-0.3547987980502936,0.015109532513570445,0.015109532513570445,0.0,0.0,0.3857240777667,0.21225518828352902,0.4607116107539824,1.3260416666666668,0.031041012425855472,0.27982718511133264,10,False
