experiment_name,experiment_slug,execution_mode,search_name,search_slug,split_kind,outer_num_folds,test_fold_id,candidate_name,candidate_slug,candidate_index,optimizer_mode,cv_fold_id,num_training_slots,num_validation_slots,num_post_s_validation_slots,fit_path,status,fit_loss,validation_loss,validation_brier_score,validation_ece,post_s_validation_loss,post_s_validation_brier_score,post_s_validation_ece,validation_mean_magnetization_abs_diff,validation_observed_mean_magnetization,validation_sampled_mean_magnetization_mean,post_s_validation_mean_magnetization_abs_diff,post_s_validation_observed_mean_magnetization,post_s_validation_sampled_mean_magnetization_mean
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_1,completed,0.4615321492810961,0.7013527979446689,0.2107706983110569,0.08410219636663957,0.7013527979446689,0.2107706983110569,0.08410219636663957,0.02249203821656051,0.010828025477707006,-0.011664012738853504,0.02249203821656051,0.010828025477707006,-0.011664012738853504
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_2,completed,0.469039609779845,0.6750369884550308,0.2131750385225644,0.08623189556123353,0.6750369884550308,0.2131750385225644,0.08623189556123353,0.015873647358370463,0.015276893698281349,-0.0005967536600891147,0.015873647358370463,0.015276893698281349,-0.0005967536600891147
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_3,completed,0.45833515321511176,0.729658881911983,0.21837025620490294,0.09920247341955214,0.729658881911983,0.21837025620490294,0.09920247341955214,0.029203750794659887,0.01080737444373808,-0.018396376350921805,0.029203750794659887,0.01080737444373808,-0.018396376350921805
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_4,completed,0.46441007148646535,0.7133318604279157,0.20750748569958352,0.06827149660039941,0.7133318604279157,0.20750748569958352,0.06827149660039941,0.004052765416401781,-0.004450095359186269,-0.00850286077558805,0.004052765416401781,-0.004450095359186269,-0.00850286077558805
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_5,completed,0.4617470537124916,0.717854318728279,0.21360070195485759,0.0809490224944933,0.717854318728279,0.21360070195485759,0.0809490224944933,0.015654799745708835,0.01589319771137953,0.00023839796567069358,0.015654799745708835,0.01589319771137953,0.00023839796567069358
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_6,completed,0.4567280780887985,0.7402250956754438,0.22299885153361673,0.10349192103014651,0.7402250956754438,0.22299885153361673,0.10349192103014651,0.028980891719745223,-0.02165605095541401,0.00732484076433121,0.028980891719745223,-0.02165605095541401,0.00732484076433121
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0001,default_candidate_0001,1,alternating_latent_rank,7,14552,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0001/fold_7,completed,0.45532360950725664,0.7392881128124732,0.21451385647681195,0.08704015429503825,0.7392881128124732,0.21451385647681195,0.08704015429503825,0.016719745222929936,-0.024840764331210193,-0.008121019108280256,0.016719745222929936,-0.024840764331210193,-0.008121019108280256
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,1,14550,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_1,completed,0.46776388526272855,0.6266134804783609,0.20425241233444416,0.07038249033195718,0.6266134804783609,0.20425241233444416,0.07038249033195718,0.020780254777070066,0.010828025477707006,-0.009952229299363059,0.020780254777070066,0.010828025477707006,-0.009952229299363059
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,2,14536,3142,3142,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_2,completed,0.4752625102111954,0.6210884588193547,0.2086498337489839,0.07601426647514838,0.6210884588193547,0.2086498337489839,0.07601426647514838,0.015913430935709738,0.015276893698281349,-0.0006365372374283896,0.015913430935709738,0.015276893698281349,-0.0006365372374283896
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,3,14544,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_3,completed,0.46508256852738633,0.6483580067530599,0.2131750288420694,0.08126970690229274,0.6483580067530599,0.2131750288420694,0.08126970690229274,0.02852828989192626,0.01080737444373808,-0.017720915448188178,0.02852828989192626,0.01080737444373808,-0.017720915448188178
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,4,14542,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_4,completed,0.47151319078957826,0.6197244400381955,0.20154352305628162,0.05823192402429763,0.6197244400381955,0.20154352305628162,0.05823192402429763,0.0024634456452638275,-0.004450095359186269,-0.001986649713922441,0.0024634456452638275,-0.004450095359186269,-0.001986649713922441
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,5,14541,3146,3146,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_5,completed,0.46768617932614415,0.6352793337001419,0.20826362703254372,0.07178724038517025,0.6352793337001419,0.20826362703254372,0.07178724038517025,0.013946280991735538,0.01589319771137953,0.0019469167196439915,0.013946280991735538,0.01589319771137953,0.0019469167196439915
interference_confounding_beta_015_xi_080,interference_confounding_beta_015_xi_080,cv,default,default,train_cv,6,1,default__candidate_0002,default_candidate_0002,2,alternating_latent_rank,6,14549,3140,3140,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticSNN/interference_confounding_beta_015_xi_080/cv_runs/default/candidates/default_candidate_0002/fold_6,completed,0.46391546461866456,0.6574189479223327,0.21723417853488822,0.09096263969140377,0.6574189479223327,0.21723417853488822,0.09096263969140377,0.031886942675159236,-0.02165605095541401,0.010230891719745222,0.031886942675159236,-0.02165605095541401,0.010230891719745222
