statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.13703161349285475,0.001938705428564697,-0.14020369447213915,-0.13688933200398803,-0.13392669214578487,16
post_intervention_mean_magnetization,-0.36412045913541424,0.00244226627877694,-0.36763811130710433,-0.363754889178618,-0.3593437635810517,16
