statistic,sample_mean,sample_std,q025,q500,q975,num_finite_samples
overall_mean_magnetization,-0.3832706740888446,0.0024275727787055,-0.38716766367563976,-0.3831200841918688,-0.37952462058269637,16
post_intervention_mean_magnetization,-0.3832706740888446,0.0024275727787055,-0.38716766367563976,-0.3831200841918688,-0.37952462058269637,16
