source_type,source_name,source_slug,run_name,run_slug,treated_intervention_slug,control_intervention_slug,s,gte,gte_post_s
fit,alternating_rank_3_uv_5_e2,fit_alternating_rank_3_uv_5_e2,default,default,all_intervention,no_intervention,0,-0.50045,-0.50045
fit,alternating_rank_3_uv_5_e2_xi_zero,fit_alternating_rank_3_uv_5_e2_xi_zero,default,default,all_intervention,no_intervention,0,-0.49774999999999997,-0.49774999999999997
fit,base,fit_base,default,default,all_intervention,no_intervention,0,-0.36641,-0.36641
fit,treatment_shared_unit_rank_3_uv_1_e1,fit_treatment_shared_unit_rank_3_uv_1_e1,default,default,all_intervention,no_intervention,0,-0.029879999999999997,-0.029879999999999997
fit,treatment_split_rank_1_uv_1_e1,fit_treatment_split_rank_1_uv_1_e1,default,default,all_intervention,no_intervention,0,-0.016830000000000005,-0.016830000000000005
truth,truth,truth,default,default,all_intervention,no_intervention,0,-0.54142,-0.54142
