variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.40047568276880174,0.9603796411186553,0.2941349460095313,89,3014
intervention,complete_cov >= 30,0.47942187395152214,0.9983061629133316,0.011341014658864692,89,3014
