experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,N,T,has_truth,field_mode,latent_rank
hybrid_1,hybrid_1,hybrid_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_1,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_2,hybrid_2,hybrid_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_2,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_3,hybrid_3,hybrid_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_3,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_4,hybrid_4,hybrid_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_4,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_5,hybrid_5,hybrid_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_5,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_6,hybrid_6,hybrid_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_6,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_7,hybrid_7,hybrid_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_7,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_8,hybrid_8,hybrid_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_8,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_9,hybrid_9,hybrid_9,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_9,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
hybrid_10,hybrid_10,hybrid_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_10,fixed_artifact,fixed_artifact,3014,115,True,confounded_low_rank,5
