generation_spec_path,experiment_name,experiment_slug,experiment_path
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_1,hybrid_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_1
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_2,hybrid_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_2
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_3,hybrid_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_3
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_4,hybrid_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_4
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_5,hybrid_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_5
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_6,hybrid_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_6
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_7,hybrid_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_7
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_8,hybrid_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_8
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_9,hybrid_9,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_9
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/hybrid/generation_spec.yaml,hybrid_10,hybrid_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Hybrid/hybrid_10
