variable,rule,positive_share,variance,transition_rate,weeks,counties
outcome,death_rate_100k >= 2,0.3955752783307528,0.9563819100172011,0.29366711216202324,72,3014
intervention,complete_cov >= 30,0.5926187053011871,0.9656871017133275,0.014056468872959055,72,3014
