experiment_name,experiment_group,outcome_code,outcome_label,outcome_definition,intervention_definition,network_code,network_label,interaction_matrix_label,beta,eta,field::black_share,field::family_household_share,field::female_household_share,field::hispanic_share,field::male_1521_share,field::renter_share,field::total_pop,field::vacant_share,interaction::centroid_distance_kernel_16,interaction::centroid_distance_kernel_8,interaction::contiguity,interaction::knn_16,interaction::knn_8,psi,tau::t_0,tau::t_1,tau::t_10,tau::t_11,tau::t_12,tau::t_13,tau::t_14,tau::t_2,tau::t_3,tau::t_4,tau::t_5,tau::t_6,tau::t_7,tau::t_8,tau::t_9,zeta,final_loss
any_crime_gt_0_pm1__centroid_distance_kernel_16,static,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),0.11876916336488848,0.23516312611308568,0.2015732427259273,-0.14551604547963004,0.08329459785741528,0.07478454364915371,-0.010332058770995106,0.11460273547110811,6.1292322371522365,1.118643963827463,0.863785600427196,,,,,3.6470708767894777,0.089464690279427,0.17005240393970297,0.15151732542893434,0.14732353801729295,0.15418331171381192,0.15371025724889567,0.05704274849830053,0.13232411851994705,0.07208232851419118,0.10753103738294226,0.11700333760110658,0.12648893286124385,0.10657039309327347,0.13611514514851747,0.171956956813053,0.45657976339409373,0.48260253395335273
any_crime_gt_0_pm1__centroid_distance_kernel_8,static,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),0.15012626909694926,0.24003384172232287,0.22972145489826665,-0.17712086581354128,0.10534144360499159,0.10756141226005263,0.029840981162106973,0.11856282988463991,6.233786805000927,1.2867055353686832,,0.7492323428876553,,,,3.640458567129188,0.11369017463681459,0.2052405499503751,0.18955522187777366,0.18454884219967319,0.19117721237117002,0.19182827149371634,0.07981085367204085,0.16569091812409698,0.09525906791712745,0.1335179708601974,0.14419420544788467,0.1566602114273734,0.134219303722966,0.16823202801560025,0.2106318699348498,0.4496650803284981,0.484382808732568
any_crime_gt_0_pm1__contiguity,static,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,0.1853058728479244,0.24249808400489897,0.23196072531954834,-0.18450586558913365,0.09140331910164358,0.10813541711823077,0.042854674697913375,0.11812251485282572,6.417266406593746,1.3315596182356815,,,1.938545295857639,,,3.651269696761488,0.128944882409573,0.22252107265008525,0.20717003621699842,0.20385066097785381,0.2092287801270437,0.21077287097712158,0.09766353084313817,0.18137103148737804,0.10888212571052065,0.14937279510968962,0.15987658949400416,0.17238560531859395,0.14877184925530007,0.18271774142348163,0.22865410009137352,0.46025801675682987,0.48492538141130503
any_crime_gt_0_pm1__knn_16,static,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,0.13689276223658,0.23645744001833344,0.19218266586861246,-0.15424798232304543,0.05883941890437289,0.04880358705164614,-0.0067801847543720855,0.11267142978423184,6.325501051002346,1.2164920053211357,,,,0.8101820319536105,,3.639086567759988,0.11269054839037752,0.1907298704129328,0.17269616931952103,0.16861653796866322,0.17420801257838356,0.17545506911051667,0.08235263437903143,0.15144145504625217,0.0937281234085347,0.13047972598452412,0.13818601844687,0.14833168107927652,0.1287395259133046,0.157009438604904,0.19183434471868233,0.4515957881413511,0.48312682153375736
any_crime_gt_0_pm1__knn_8,static,any_crime_gt_0_pm1,Any-crime indicator: at least one total crime vs zero total crimes,+1 means at least one recorded crime in the period; -1 means zero recorded crimes in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,0.16340257607092334,0.24064262103204742,0.22095403859436819,-0.1814400471803952,0.08675063825085563,0.08263930662541474,0.029368347199797164,0.11503108014412158,6.396777630270867,1.3628781887827492,,,,,0.6005674133745565,3.6484305417629668,0.12927964950228937,0.21806473964919992,0.20346919093317214,0.19823357048558177,0.2037726030700501,0.20580406653230585,0.09640470798273514,0.1778828446942773,0.10968134653955454,0.1489753755447845,0.15791992940075084,0.1710923509200816,0.1488208819209377,0.18146361918638698,0.22340472708904838,0.4625765219729868,0.4845837570388589
any_crime_gt_1_pm1__centroid_distance_kernel_16,static,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_16,Centroid-distance kernel with 16-nearest-neighbor support,Centroid-distance-kernel interaction matrix (16-neighbor support),0.062336613097963685,0.3829307671572251,0.2548340032553999,-0.22008504747837832,0.19146198754547478,0.18015747737190316,-0.19577406043414294,0.1484574238712202,4.421129359680015,1.2354900113293827,1.1110938270838393,,,,,3.528151085125352,-0.17572079548196307,-0.060525658746809874,-0.09514674121630161,-0.10304286051177475,-0.0688976129743778,-0.05635974583958174,-0.2409125910756663,-0.11203573017823704,-0.1835736056653718,-0.1461058596548504,-0.1095596724876087,-0.11084020947099921,-0.15056560034968983,-0.10902237809394842,-0.0603605102744998,0.6078568537329245,0.3556318766842728
any_crime_gt_1_pm1__centroid_distance_kernel_8,static,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,centroid_distance_kernel_8,Centroid-distance kernel with 8-nearest-neighbor support,Centroid-distance-kernel interaction matrix (8-neighbor support),0.08844190170560366,0.3877426781984271,0.2766487818412275,-0.25325643652111524,0.22017231885977748,0.21235114595062396,-0.13852055459920418,0.14041730953778725,4.4461485897578354,1.3985716513854798,,1.0704445199317218,,,,3.5329886229237855,-0.19608443132015432,-0.07386871139067817,-0.10587203868704154,-0.11409324824434211,-0.07958906981933087,-0.06476759326911152,-0.26443464876870065,-0.12707552590749657,-0.20620739991759446,-0.16678908266881123,-0.12692592061695923,-0.1262996273621372,-0.16918256160669226,-0.12619927910613732,-0.07142402865002564,0.6106382203572566,0.3567166535319943
any_crime_gt_1_pm1__contiguity,static,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,contiguity,Geographic contiguity network,Contiguity interaction matrix,0.15837140405458325,0.4056056167398316,0.2871104262454852,-0.28399448877877165,0.20594799760193655,0.26399759624966057,-0.1135644813179824,0.11772622305718566,5.698865576364604,1.5943561360480474,,,2.051452746977751,,,3.5249664055840966,-0.20394828653816577,-0.07441246400818245,-0.10170368521539558,-0.10963719821019287,-0.07864352404342803,-0.05846322496552038,-0.27596488754128795,-0.12979228848501248,-0.21661151847153917,-0.17691594113588846,-0.12898677114708007,-0.12937670569194282,-0.17360112139607037,-0.13252505929881347,-0.06777071488279067,0.602607189685438,0.36152968942027186
any_crime_gt_1_pm1__knn_16,static,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_16,16-nearest-neighbor centroid graph,16-nearest-neighbor interaction matrix,0.07349870155018169,0.38648098525725605,0.23391052426710846,-0.21496736666161348,0.19337271013367696,0.1924368644717904,-0.19094530255497252,0.10931330401298853,4.988943222322726,1.317190433915566,,,,1.0548136511352364,,3.533208495772269,-0.133588159562481,-0.02255819636828702,-0.057216650925714506,-0.0647167370002664,-0.03226354256923886,-0.021522872960734494,-0.19885618179901432,-0.07517999539812296,-0.14273178197707698,-0.10643747514992834,-0.06906725441393684,-0.07237268459509777,-0.1082332108772197,-0.0705646365692889,-0.02272937823068321,0.6099145425993567,0.3565077267740679
any_crime_gt_1_pm1__knn_8,static,any_crime_gt_1_pm1,Any-crime indicator: more than one total crime vs at most one total crime,+1 means more than one recorded crime in the period; -1 means at most one recorded crime in the period.,z = +1 means the block is under intervention in that quarter; z = -1 means no intervention in that quarter.,knn_8,8-nearest-neighbor centroid graph,8-nearest-neighbor interaction matrix,0.09880219034936857,0.3903188546391726,0.25429261944811266,-0.24249574875167815,0.2060369516594525,0.20722139903529213,-0.13387642534647742,0.10692818056038655,4.974210377187063,1.4515579860040566,,,,,0.8578897819217102,3.527627085074628,-0.16226269647613376,-0.04412915176413357,-0.07565407540151166,-0.08347005276218603,-0.05072966327116326,-0.03752738977285094,-0.23096353653135165,-0.09853067251720186,-0.17400973603324493,-0.13525159273424894,-0.09538551680081779,-0.09683966698138324,-0.13562763943794212,-0.09653985763942223,-0.04204757057442165,0.6053183616330737,0.35743628425699253
